"Country.Name","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Bangladesh",434,423,410,395,372,343,315,297,280,269,258,248,238,227,214,200,186,173,NA,NA
"Bulgaria",19,18,17,16,16,15,14,13,13,12,12,12,11,10,11,10,10,10,NA,NA
"Bahrain",27,19,25,21,21,19,24,16,18,19,18,15,18,17,15,15,15,14,NA,NA
"Bahamas, The",75,76,78,79,78,77,78,77,77,78,78,78,78,78,77,74,72,70,NA,NA
"Bosnia and Herzegovina",17,16,14,14,14,13,13,13,11,11,11,10,10,10,10,10,10,10,NA,NA
"Belarus",22,19,18,15,13,11,9,7,6,6,5,5,4,3,3,3,3,2,NA,NA
"Belize",89,88,82,80,75,70,65,61,59,57,54,52,50,48,46,43,39,36,NA,NA
"Bermuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bolivia",331,320,309,297,283,271,258,246,234,222,212,202,192,184,175,168,161,155,NA,NA
"Brazil",69,68,69,70,71,71,72,71,70,69,65,61,60,61,62,63,62,60,NA,NA
"Barbados",50,48,47,45,43,42,41,40,39,38,36,35,34,32,31,31,30,27,NA,NA
"Brunei Darussalam",28,28,29,30,30,29,28,27,27,27,28,28,29,28,29,30,31,31,NA,NA
"Bhutan",423,384,365,348,332,310,291,275,264,255,247,239,231,223,214,203,193,183,NA,NA
"Botswana",262,271,278,278,264,239,221,209,203,189,179,176,170,164,160,156,151,144,NA,NA
"Central African Republic",1280,1290,1280,1250,1230,1200,1170,1130,1090,1050,1000,981,963,1030,961,912,890,829,NA,NA
"Canada",9,10,10,10,10,11,11,11,12,12,11,11,11,11,11,11,10,10,NA,NA
"Central Europe and the Baltics",20,19,17,16,15,14,13,12,12,11,11,10,9,9,9,9,9,8,NA,NA
"Switzerland",7,7,7,7,7,7,7,6,6,6,6,6,6,6,5,5,5,5,NA,NA
"Channel Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chile",31,32,28,27,27,25,25,23,21,21,20,18,17,16,15,14,13,13,NA,NA
"China",59,55,51,48,46,44,42,40,40,37,36,34,33,32,31,30,29,29,NA,NA
"Cote d'Ivoire",704,706,713,711,709,704,699,698,694,700,701,703,702,691,676,658,636,617,NA,NA
"Cameroon",886,844,803,771,732,692,658,635,618,606,597,589,580,567,564,554,538,529,NA,NA
"Congo, Dem. Rep.",760,740,734,699,661,627,598,578,565,555,542,532,524,514,500,490,481,473,NA,NA
"Congo, Rep.",739,752,769,757,724,677,623,580,552,526,506,488,468,449,433,416,397,378,NA,NA
"Colombia",94,93,92,88,85,83,82,83,84,87,85,84,85,85,85,85,84,83,NA,NA
"Comoros",444,437,429,423,414,404,393,382,370,356,341,326,313,302,293,285,279,273,NA,NA
"Cabo Verde",118,109,101,96,91,86,82,78,75,72,70,67,65,63,62,61,59,58,NA,NA
"Costa Rica",40,37,38,37,36,33,35,29,29,29,32,30,29,29,29,28,28,27,NA,NA
"Caribbean small states",112,109,109,107,105,103,101,98,97,96,93,93,93,91,89,89,89,88,NA,NA
"Cuba",46,44,41,41,40,41,38,38,40,40,41,38,39,40,39,38,37,36,NA,NA
"Curacao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cayman Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyprus",14,9,10,9,9,12,9,8,9,8,8,8,7,6,8,7,6,6,NA,NA
"Czechia",7,7,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4,3,NA,NA
"Germany",7,7,7,6,6,6,6,6,6,6,6,6,5,5,5,5,5,7,NA,NA
"Djibouti",507,490,470,449,426,393,361,335,320,299,283,272,262,256,256,247,246,248,NA,NA
"Dominica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Denmark",8,8,8,7,7,6,6,6,6,6,5,5,5,4,4,4,4,4,NA,NA
"Dominican Republic",80,75,75,76,81,83,86,90,92,95,96,95,94,94,94,94,94,95,NA,NA
"Algeria",161,155,148,145,134,127,122,119,117,117,115,116,116,115,114,114,113,112,NA,NA
"East Asia & Pacific (excluding high income)",121,118,115,112,110,106,103,100,98,94,91,88,85,82,79,77,75,73,NA,NA
"Early-demographic dividend",326,315,304,292,280,264,250,236,224,213,202,191,182,174,166,159,152,147,NA,NA
"East Asia & Pacific",114,111,108,105,104,100,97,94,93,89,86,83,80,78,75,73,71,69,NA,NA
"Europe & Central Asia (excluding high income)",45,43,42,40,38,36,33,31,29,27,26,24,23,22,21,20,20,19,NA,NA
"Europe & Central Asia",27,26,25,24,23,22,21,20,19,18,17,16,15,15,14,14,13,13,NA,NA
"Ecuador",122,117,110,100,94,94,90,85,82,80,78,76,71,67,65,63,61,59,NA,NA
"Egypt, Arab Rep.",64,63,60,57,54,52,50,47,45,45,45,42,42,40,39,39,38,37,NA,NA
"Euro area",8,7,7,7,7,7,6,6,6,6,6,6,6,6,5,5,5,5,NA,NA
"Eritrea",1280,1180,1130,1060,938,804,705,635,605,583,567,558,549,540,530,518,498,480,NA,NA
"Spain",5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA
"Estonia",29,27,25,20,18,18,16,17,14,14,11,13,12,10,11,10,11,9,NA,NA
"Ethiopia",1030,988,985,972,929,865,795,731,681,638,597,558,527,498,472,446,422,401,NA,NA
"European Union",10,10,9,9,8,8,8,7,7,7,7,7,6,6,6,6,6,6,NA,NA
"Fragile and conflict affected situations",840,822,809,792,764,730,702,676,657,639,623,609,597,585,576,561,552,542,NA,NA
"Finland",6,5,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,NA,NA
"Fiji",51,49,48,48,47,46,44,43,42,40,39,38,38,37,36,35,34,34,NA,NA
"France",10,10,10,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,NA,NA
"Faroe Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Micronesia, Fed. Sts.",154,150,163,141,137,133,128,123,118,114,110,106,103,99,96,95,90,88,NA,NA
"Gabon",380,370,361,356,354,348,340,336,332,324,314,304,292,277,267,261,256,252,NA,NA
"United Kingdom",10,11,11,11,11,11,11,11,11,10,10,9,8,8,8,8,7,7,NA,NA
"Georgia",31,33,42,37,38,39,33,36,39,43,32,32,30,30,29,27,26,25,NA,NA
"Ghana",484,445,415,398,384,371,359,349,342,339,339,339,336,331,325,320,314,308,NA,NA
"Gibraltar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Guinea",1020,1070,1090,1080,1020,920,831,772,754,750,747,748,744,731,767,699,621,576,NA,NA
"Gambia, The",932,905,876,843,802,756,716,690,675,668,661,656,650,644,637,625,611,597,NA,NA
"Guinea-Bissau",1210,1180,1150,1110,1050,979,912,860,827,800,779,762,744,726,711,694,679,667,NA,NA
"Equatorial Guinea",454,421,392,370,357,344,331,322,314,310,308,308,305,300,295,296,301,301,NA,NA
"Greece",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NA,NA
"Grenada",38,36,34,34,38,33,31,31,30,30,29,28,28,27,26,25,25,25,NA,NA
"Greenland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Guatemala",161,147,145,137,137,142,137,132,125,131,129,122,118,113,107,103,98,95,NA,NA
"Guam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Guyana",231,216,227,226,220,223,221,208,192,185,179,180,185,175,174,172,170,169,NA,NA
"High income",13,12,12,12,12,12,12,11,11,12,11,11,11,11,11,11,11,11,NA,NA
"Hong Kong SAR, China",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Honduras",85,83,80,78,77,77,77,77,76,75,74,72,70,69,68,67,65,65,NA,NA
"Heavily indebted poor countries (HIPC)",835,807,786,761,733,698,669,642,619,599,579,560,543,526,512,493,477,462,NA,NA
"Croatia",11,10,10,10,10,10,9,9,9,9,9,9,8,9,8,8,7,8,NA,NA
"Haiti",437,437,441,446,513,459,467,473,484,484,506,496,500,496,492,488,489,480,NA,NA
"Hungary",16,15,16,15,15,15,14,15,14,13,13,13,12,12,12,12,12,12,NA,NA
"IBRD only",199,192,184,177,170,161,154,145,137,129,122,114,108,103,99,95,92,89,NA,NA
"IDA & IBRD total",377,368,360,351,340,325,313,301,291,282,272,264,257,250,245,239,234,230,NA,NA
"IDA total",720,704,691,673,650,622,596,574,558,543,528,514,502,490,480,467,455,445,NA,NA
"IDA blend",717,713,706,695,674,649,621,601,590,580,569,559,550,540,534,526,518,513,NA,NA
"Indonesia",272,269,265,261,264,252,249,243,239,234,228,221,214,207,199,192,184,177,NA,NA
"IDA only",722,700,683,663,638,608,583,560,541,524,506,490,477,463,452,436,422,410,NA,NA
"Isle of Man",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"India",370,354,336,319,303,286,270,255,240,225,210,197,185,175,166,158,150,145,NA,NA
"Not classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ireland",7,7,6,6,6,7,6,6,7,7,6,7,6,6,6,6,6,5,NA,NA
"Iran, Islamic Rep.",48,44,41,39,36,34,32,30,28,25,22,19,18,17,17,17,16,16,NA,NA
"Iraq",79,76,74,136,122,127,158,138,90,75,70,67,66,75,92,83,78,79,NA,NA
"Iceland",6,6,6,6,6,5,5,5,5,5,5,5,4,4,5,4,4,4,NA,NA
"Israel",7,7,7,6,6,5,5,5,4,4,4,4,4,4,4,3,3,3,NA,NA
"Italy",4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,NA,NA
"Jamaica",77,79,78,79,80,80,79,79,79,79,79,79,79,79,78,78,80,80,NA,NA
"Jordan",70,68,65,63,62,62,58,56,55,54,53,52,52,51,49,48,47,46,NA,NA
"Japan",9,8,8,7,7,7,7,6,6,6,6,6,5,5,5,5,5,5,NA,NA
"Kazakhstan",61,57,52,49,46,43,40,36,30,24,22,19,17,14,13,12,10,10,NA,NA
"Kenya",708,702,692,678,653,618,583,545,513,472,432,398,373,364,358,353,346,342,NA,NA
"Kyrgyz Republic",79,76,83,82,79,82,85,84,81,80,79,79,74,70,69,66,63,60,NA,NA
"Cambodia",488,456,430,404,378,351,326,303,284,265,248,232,215,202,189,178,168,160,NA,NA
"Kiribati",136,131,127,124,121,119,117,115,115,113,112,110,107,104,100,97,94,92,NA,NA
"St. Kitts and Nevis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Korea, Rep.",17,15,15,16,15,15,14,15,15,16,15,14,13,13,12,12,11,11,NA,NA
"Kuwait",10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,12,12,NA,NA
"Latin America & Caribbean (excluding high income)",97,95,94,93,94,91,90,89,88,88,85,82,80,79,78,77,75,73,NA,NA
"Lao PDR",544,517,491,465,437,410,385,360,336,314,292,272,254,238,223,209,196,185,NA,NA
"Lebanon",28,27,26,25,24,24,24,23,23,23,23,25,25,27,28,29,29,29,NA,NA
"Liberia",894,913,1010,878,837,816,782,754,738,724,708,694,683,674,688,691,661,661,NA,NA
"Libya",70,68,66,64,61,57,55,53,52,53,53,56,55,58,63,70,73,72,NA,NA
"St. Lucia",86,86,90,92,89,83,82,87,93,100,109,116,116,108,104,115,117,117,NA,NA
"Latin America & Caribbean",96,94,94,93,93,90,89,88,87,87,85,82,80,79,78,77,76,74,NA,NA
"Least developed countries: UN classification",763,738,719,695,668,635,607,581,560,540,520,502,486,471,459,442,427,415,NA,NA
"Low income",845,817,796,770,738,700,668,638,613,590,567,547,529,513,501,482,467,453,NA,NA
"Liechtenstein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sri Lanka",56,53,50,50,48,45,47,43,42,41,38,38,37,37,36,36,36,36,NA,NA
"Lower middle income",422,412,401,388,375,359,344,331,320,310,301,292,284,276,270,264,257,253,NA,NA
"Low & middle income",379,371,363,354,342,328,315,303,293,284,274,266,258,252,247,241,235,231,NA,NA
"Lesotho",614,633,653,671,680,679,668,652,623,607,594,585,586,583,579,574,559,544,NA,NA
"Late-demographic dividend",62,59,57,54,52,50,48,46,45,43,41,39,38,37,36,36,35,34,NA,NA
"Lithuania",17,16,14,14,13,14,14,14,13,11,10,10,10,10,9,9,8,8,NA,NA
"Luxembourg",10,10,9,8,8,9,9,8,6,7,8,8,7,6,6,5,5,5,NA,NA
"Latvia",34,35,33,34,32,30,32,32,29,28,26,26,23,27,24,23,26,19,NA,NA
"Macao SAR, China",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"St. Martin (French part)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Morocco",188,174,162,152,142,131,121,113,106,99,92,86,81,78,76,74,72,70,NA,NA
"Monaco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moldova",44,39,38,36,32,34,31,31,29,28,29,21,22,21,23,22,20,19,NA,NA
"Madagascar",559,552,547,543,539,526,513,503,491,474,453,432,413,394,378,363,348,335,NA,NA
"Maldives",125,111,105,97,89,75,71,71,72,71,67,62,60,58,56,54,54,53,NA,NA
"Middle East & North Africa",96,92,88,91,85,82,82,77,69,66,63,61,60,59,61,59,58,57,NA,NA
"Mexico",55,55,56,55,54,54,51,49,49,51,46,43,41,39,38,36,34,33,NA,NA
"Marshall Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Middle income",301,295,287,280,271,260,250,240,232,225,217,210,204,199,195,190,186,184,NA,NA
"North Macedonia",13,12,12,10,11,10,10,10,8,8,8,8,8,8,8,8,8,7,NA,NA
"Mali",836,797,764,739,715,691,675,663,661,661,660,663,663,663,642,620,590,562,NA,NA
"Malta",9,10,9,10,9,8,8,8,8,7,8,7,7,7,6,7,6,6,NA,NA
"Myanmar",340,331,323,314,307,299,293,287,289,274,265,259,254,251,247,246,245,250,NA,NA
"Middle East & North Africa (excluding high income)",106,101,96,100,94,91,91,85,76,72,69,67,65,65,66,64,63,62,NA,NA
"Montenegro",12,12,11,11,10,9,9,8,8,8,7,7,7,6,6,6,6,6,NA,NA
"Mongolia",155,138,124,114,106,98,91,85,80,73,66,59,54,51,49,47,46,45,NA,NA
"Northern Mariana Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mozambique",798,745,700,657,615,577,539,505,471,439,412,389,371,356,339,318,301,289,NA,NA
"Mauritania",834,835,836,836,830,826,821,820,819,822,824,822,812,805,796,785,777,766,NA,NA
"Mauritius",59,54,54,57,54,53,55,56,53,59,66,54,63,60,70,73,67,61,NA,NA
"Malawi",749,735,714,687,654,610,566,526,493,466,444,428,413,396,381,370,358,349,NA,NA
"Malaysia",38,36,34,33,32,31,30,30,29,29,30,30,30,30,30,30,29,29,NA,NA
"North America",12,12,13,13,13,13,14,14,14,14,14,15,15,15,16,17,18,18,NA,NA
"Namibia",348,352,356,359,358,346,328,306,284,276,266,256,240,231,223,217,207,195,NA,NA
"New Caledonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Niger",813,803,795,782,770,755,739,725,709,688,663,639,616,594,573,555,530,509,NA,NA
"Nigeria",1200,1200,1180,1170,1130,1080,1040,1010,996,987,978,972,963,951,943,931,925,917,NA,NA
"Nicaragua",162,157,151,145,138,131,124,121,116,113,112,110,108,105,103,101,100,98,NA,NA
"Netherlands",13,13,13,12,11,11,9,9,8,8,7,7,7,6,6,6,6,5,NA,NA
"Norway",6,5,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,2,NA,NA
"Nepal",553,521,520,470,447,415,386,361,342,323,305,285,266,248,231,236,200,186,NA,NA
"Nauru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New Zealand",12,11,12,12,11,11,11,11,10,11,11,10,10,9,10,10,10,9,NA,NA
"OECD members",24,24,24,23,22,22,21,21,20,21,20,19,19,18,18,18,18,18,NA,NA
"Oman",20,20,20,20,19,19,18,18,18,18,18,18,18,18,18,19,19,19,NA,NA
"Other small states",489,483,475,465,447,423,401,382,367,357,347,340,333,326,321,316,310,303,NA,NA
"Pakistan",286,275,264,254,243,237,222,214,205,199,191,180,173,166,161,154,143,140,NA,NA
"Panama",91,86,91,93,88,88,88,86,84,82,79,76,74,66,60,58,55,52,NA,NA
"Peru",144,138,132,127,122,118,114,112,108,106,104,102,100,98,96,94,91,88,NA,NA
"Philippines",160,163,160,156,156,156,156,149,148,149,144,141,139,136,131,127,124,121,NA,NA
"Palau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Papua New Guinea",249,242,234,225,213,200,187,179,173,170,168,166,164,160,155,151,148,145,NA,NA
"Poland",7,6,5,5,5,4,4,4,4,3,3,3,3,3,2,2,2,2,NA,NA
"Pre-demographic dividend",896,874,853,831,800,766,738,713,692,674,656,640,626,613,603,587,575,563,NA,NA
"Puerto Rico",26,26,24,23,25,23,23,23,23,23,21,22,19,20,21,20,20,21,NA,NA
"Korea, Dem. People's Rep.",139,128,122,121,120,120,120,119,118,113,106,100,96,94,93,91,90,89,NA,NA
"Portugal",10,10,10,10,10,9,9,9,9,9,9,9,9,8,8,9,9,8,NA,NA
"Paraguay",194,191,188,185,180,174,168,163,158,153,148,145,141,138,135,132,130,129,NA,NA
"West Bank and Gaza",70,69,70,66,64,59,58,56,53,50,45,42,40,36,37,32,29,27,NA,NA
"Pacific island small states",128,123,120,115,111,107,102,99,94,91,87,84,81,78,77,74,71,70,NA,NA
"Post-demographic dividend",12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,NA,NA
"French Polynesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Qatar",14,14,13,13,13,12,11,11,11,10,10,10,10,10,10,9,9,9,NA,NA
"Romania",54,49,47,43,39,35,32,30,28,28,27,24,23,21,21,21,21,19,NA,NA
"Russian Federation",56,53,51,49,45,42,36,32,30,27,25,23,22,20,19,18,18,17,NA,NA
"Rwanda",1160,1100,961,870,758,643,541,469,427,424,373,349,329,308,291,275,260,248,NA,NA
"South Asia",395,379,361,344,327,309,293,278,263,249,235,222,210,199,190,179,169,163,NA,NA
"Saudi Arabia",24,24,23,23,22,22,21,21,20,20,19,18,18,17,17,17,17,17,NA,NA
"Sudan",667,645,614,598,580,529,508,479,454,433,408,390,368,349,333,320,308,295,NA,NA
"Senegal",553,545,537,532,526,519,514,504,492,472,447,423,400,381,364,346,330,315,NA,NA
"Singapore",13,13,14,13,14,13,13,12,11,10,10,10,10,9,8,9,8,8,NA,NA
"Solomon Islands",245,233,222,210,199,188,177,172,159,152,141,134,127,122,120,112,108,104,NA,NA
"Sierra Leone",2480,2250,2080,1960,1850,1760,1680,1610,1530,1450,1360,1270,1210,1180,1190,1180,1120,1120,NA,NA
"El Salvador",73,75,68,66,64,62,60,58,57,57,54,53,52,50,49,48,47,46,NA,NA
"San Marino",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Somalia",1210,1170,1140,1100,1080,1040,1040,1030,1010,994,985,955,943,893,878,855,865,829,NA,NA
"Serbia",13,13,13,13,13,12,12,12,12,12,12,12,12,12,12,13,12,12,NA,NA
"Sub-Saharan Africa (excluding high income)",870,849,833,812,782,746,713,685,664,645,627,610,596,582,571,557,545,534,NA,NA
"South Sudan",1730,1690,1660,1610,1550,1480,1410,1330,1250,1170,1100,1070,1050,1090,1140,1110,1130,1150,NA,NA
"Sub-Saharan Africa",870,849,833,812,782,746,713,685,664,645,626,610,596,582,571,557,545,534,NA,NA
"Small states",400,395,390,383,369,351,334,320,308,300,293,287,282,276,273,268,264,259,NA,NA
"Sao Tome and Principe",179,173,169,167,166,163,158,154,150,145,140,137,134,132,131,130,130,130,NA,NA
"Suriname",221,218,207,189,176,164,165,167,169,159,148,139,134,129,124,122,121,120,NA,NA
"Slovak Republic",8,8,7,7,7,7,6,7,6,6,6,6,6,6,5,6,6,5,NA,NA
"Slovenia",12,10,11,10,11,10,8,8,8,8,8,8,7,7,7,7,7,7,NA,NA
"Sweden",5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,4,4,NA,NA
"Eswatini",521,528,534,538,539,532,518,496,474,460,450,441,435,432,434,435,436,437,NA,NA
"Sint Maarten (Dutch part)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seychelles",53,54,54,54,55,55,55,55,55,55,55,55,55,55,55,54,54,53,NA,NA
"Syrian Arab Republic",26,26,26,25,26,25,26,26,26,26,27,28,28,29,30,30,30,31,NA,NA
"Turks and Caicos Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chad",1420,1410,1400,1370,1350,1330,1340,1300,1310,1270,1240,1210,1190,1170,1170,1160,1140,1140,NA,NA
"East Asia & Pacific (IDA & IBRD countries)",121,118,115,112,110,106,103,99,98,94,91,88,85,82,79,77,74,73,NA,NA
"Europe & Central Asia (IDA & IBRD countries)",43,41,40,38,35,34,31,29,28,26,24,23,22,21,20,19,18,18,NA,NA
"Togo",489,489,489,489,488,492,482,480,473,458,440,422,410,404,401,398,395,396,NA,NA
"Thailand",43,43,44,44,46,43,42,42,43,43,42,41,39,39,38,38,37,37,NA,NA
"Tajikistan",53,52,43,35,33,32,29,27,26,26,23,22,21,20,19,18,17,17,NA,NA
"Turkmenistan",29,27,25,21,20,18,18,15,13,12,10,10,9,9,8,8,8,7,NA,NA
"Latin America & the Caribbean (IDA & IBRD countries)",97,95,95,94,94,91,90,89,88,88,85,82,81,79,78,77,76,75,NA,NA
"Timor-Leste",745,720,668,603,507,415,348,300,269,242,219,198,185,176,168,160,152,142,NA,NA
"Middle East & North Africa (IDA & IBRD countries)",106,102,97,101,94,91,91,85,76,72,70,67,66,65,67,65,63,63,NA,NA
"Tonga",77,73,71,69,67,66,64,62,60,61,57,56,56,56,55,54,53,52,NA,NA
"South Asia (IDA & IBRD)",395,379,361,344,327,309,293,278,263,249,235,222,210,199,190,179,169,163,NA,NA
"Sub-Saharan Africa (IDA & IBRD countries)",870,849,833,812,782,746,713,685,664,645,626,610,596,582,571,557,545,534,NA,NA
"Trinidad and Tobago",81,78,74,75,76,76,73,65,72,74,71,72,71,70,69,68,68,67,NA,NA
"Tunisia",66,63,60,57,54,51,49,47,47,46,46,46,46,46,46,46,45,43,NA,NA
"Turkiye",42,41,39,38,35,33,30,28,27,25,24,23,22,20,19,19,18,17,NA,NA
"Tuvalu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tanzania",854,819,788,763,741,721,703,685,666,656,644,628,615,593,574,556,539,524,NA,NA
"Uganda",578,550,537,520,512,491,473,465,455,442,430,419,412,401,394,387,381,375,NA,NA
"Ukraine",35,33,33,32,33,33,31,33,33,27,25,23,24,23,24,21,20,19,NA,NA
"Upper middle income",67,65,63,63,61,60,59,57,55,52,50,47,45,44,44,43,42,41,NA,NA
"Uruguay",26,25,25,23,23,22,20,20,19,19,17,17,17,18,17,18,18,17,NA,NA
"United States",12,13,13,13,13,13,14,14,14,15,15,15,16,16,16,18,19,19,NA,NA
"Uzbekistan",41,41,41,39,37,38,37,35,34,32,31,32,32,31,30,30,29,29,NA,NA
"St. Vincent and the Grenadines",80,75,72,69,64,59,62,67,70,67,63,64,71,73,69,64,67,68,NA,NA
"Venezuela, RB",119,123,135,127,119,113,114,114,116,119,117,116,116,115,113,115,121,125,NA,NA
"British Virgin Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Virgin Islands (U.S.)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vietnam",68,65,62,59,57,54,51,49,49,48,47,47,46,46,45,45,44,43,NA,NA
"Vanuatu",140,135,128,123,119,113,108,103,99,96,92,88,85,82,80,76,74,72,NA,NA
"World",342,335,328,319,309,296,284,274,265,257,248,241,234,229,224,219,214,211,NA,NA
"Samoa",88,85,84,80,74,72,66,62,60,58,58,54,52,48,47,45,44,43,NA,NA
"Kosovo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
